mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,stereochemistry_preserved,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,mol_id
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C5H13NO4/c6-3(5(9)10)1-2-4(7)8/h3-5,7-10H,1-2,6H2/t3-/m0/s1","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",False,True,False,True,True,True,True,True,True,9,0.9924553405923028,0.9991740605246832,0,0,11,1.001722766758146,0,25,0.9870251715711327,0,9,11,25,0,0,,0,0,,0,0,,9,26.113190033537524,9.35700219127547,2.790764552549281,2.3524577381963727,0,9,3097,O,O,1.55,1.55,3.1,2.3524577381963727,3.1,0.7588573349020556,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.03297145154804986,,,,37.59131102543512,0.9775008884472687,37.49330173781578,5k45_2_GLU_1
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C4H11NO4/c5-2(4(8)9)1-3(6)7/h2-4,6-9H,1,5H2/t2-/m0/s1","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",False,True,False,True,True,True,True,True,True,8,0.9936030416831318,0.9990113369253848,0,0,10,1.0010280462477517,0,18,1.0395964154913153,0,8,10,18,0,0,,0,0,,0,0,,7,20.54299610702144,7.423027956614363,2.767468508415949,2.0185901862438542,1,7,2851,O,O,1.55,1.55,3.1,2.0185901862438542,3.1,0.6511581245947917,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.059674502712477394,,,,35.392959287280725,1.0477535898261878,35.28052782855554,6paa_1_ASP_2
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C9H28N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h4-9,11,13-22,27-29H,1-3,10H2/t4-,5+,6-,7-,8-,9-/m1/s1","InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",False,True,False,True,True,False,True,True,False,30,0.9902111008911649,1.0031223899524404,0,0,47,1.0053944043256955,0,329,0.7168998140828015,0,30,47,329,1,1,1.6525085468177547e-05,0,0,,0,0,,16,96.6377414423369,38.907182905682276,2.4838020700857077,2.1223513422616938,3,17,644,O,N,1.55,1.6,3.1500000000000004,2.1223513422616938,3.1500000000000004,0.6737623308767281,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.03589816933638444,,,,59.94960506744897,3.112355653094923,59.69926298648244,4kgx_1_CTP_5
True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C19H44N8O13P2S2.Mo.2H2O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;/h5-19,22-26,28-35,41-44H,1-4,20-21H2;;2*1H2/q;+4;;/p-4/t5-,6-,7+,8+,9+,10-,11-,12-,13+,14+,15+,16-,17-,18-,19-;;;/m1.../s1","InChI=1S/C19H44N8O13P2S2.Mo.2H2O/c20-7-1-2-27(19(31)22-7)17-11(29)10(28)5(39-17)3-36-41(32,33)40-42(34,35)37-4-6-12(43)13(44)8-16(38-6)24-14-9(23-8)15(30)26-18(21)25-14;;;/h5-19,22-26,28-35,41-44H,1-4,20-21H2;;2*1H2/q;+4;;/p-4/t5-,6-,7-,8+,9+,10-,11-,12-,13+,14+,15-,16-,17-,18-,19+;;;/m1.../s1",False,True,True,True,True,False,True,True,False,52,0.7384444355354017,1.0101198051028752,1,0,82,1.208232197175024,0,947,0.882996766525866,0,51,82,947,0,0,,1,1,0.24043502026808017,0,0,,44,7508404723.209308,1051134543.9160985,7.143143346080184,1.9174769203304618,8,45,6040,O,O,1.55,1.55,3.1,1.9174769203304618,3.1,0.6185409420420844,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.06729415904292751,,,,1.4775397369462926,1.4307297206232188,0.34682580248631495,1sij_1_PCD_0
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,"InChI=1S/C9H24N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h4-10,12-20,24-25H,1-3H2/t4-,5-,6-,7-,8-,9-/m1/s1","InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",False,True,False,True,True,False,True,True,False,26,0.9814740370370544,1.0082632370239208,0,0,40,1.0243641039599796,0,234,0.9597192283478063,0,26,40,234,1,1,3.524630527505443e-05,0,0,,0,0,,14,90.01196829652918,35.98032889849326,2.5016994299987787,0.690136971912097,28,21,395,O,O,1.55,1.55,3.1,0.690136971912097,3.1,0.22262482964906355,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.1906138411834722,,,,6.249773930407403,1.3812205926985677,4.887712331402487,4phs_1_UDP_0
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C13H31N7O8S/c14-5(1-21)12(24)19-29(25,26)27-2-6-8(22)9(23)13(28-6)20-4-18-7-10(15)16-3-17-11(7)20/h5-13,16-19,21-26H,1-4,14-15H2/t5-,6+,7-,8+,9+,10-,11-,12+,13+/m0/s1","InChI=1S/C13H19N7O8S/c14-5(1-21)12(24)19-29(25,26)27-2-6-8(22)9(23)13(28-6)20-4-18-7-10(15)16-3-17-11(7)20/h3-6,8-9,13,21-23H,1-2,14H2,(H,19,24)(H2,15,16,17)/t5-,6+,8+,9+,13+/m0/s1",False,True,False,True,True,False,True,True,False,31,0.9908327111975601,1.005914806735303,0,0,46,1.0137719778414276,0,329,0.9857614143920885,0,31,46,329,1,1,1.3761432883216407e-05,0,0,,0,0,,19,131.39412750828717,90.17940925336715,1.4570302533156274,2.1426571237601233,3,14,1444,O,C,1.55,1.7,3.25,2.1426571237601233,3.25,0.6592791150031149,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.04644239356951474,,,,6.464783213636042,1.960312226929059,2.396922592703032,1tkg_1_SSA_0
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,"InChI=1S/C8H18O2/c1-2-3-4-5-6-7-8(9)10/h8-10H,2-7H2,1H3","InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",False,True,False,True,True,True,True,True,True,9,0.9866465577451288,1.0044668180689815,0,0,9,1.0007175551213625,0,27,1.0073579645838002,0,9,9,27,0,0,,0,0,,0,0,,16,24.895505396235453,10.703491684379138,2.3259237387523166,1.7795661830907006,4,7,69,C,O,1.7,1.55,3.25,1.7795661830907006,3.25,0.5475588255663694,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.09340659340659341,,,,0.9128859726165146,0.8784559315894717,0.19469544858573162,1u8u_1_OCA_0
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,"InChI=1S/C8H18O2/c1-2-3-4-5-6-7-8(9)10/h8-10H,2-7H2,1H3","InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",False,True,False,True,True,True,True,True,True,9,0.9944650083327266,0.9950393308594,0,0,9,1.0002477268433407,0,27,1.0159662476036617,0,9,9,27,0,0,,0,0,,0,0,,16,12.15340427245491,10.703491684379138,1.135461644744565,1.817533642054528,3,7,69,C,O,1.7,1.55,3.25,1.817533642054528,3.25,0.5592411206321625,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0936930368209989,,,,1.684737134985753,0.5858078033254054,1.2576713816414757,1v2g_1_OCA_0
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C11H24N4O2S/c16-6-5-8-3-1-2-4-9(8)13-11(17)14-10-7-12-15-18-10/h8-17H,1-7H2/t8-,9-,10-,11-/m1/s1","InChI=1S/C11H12N4O2S/c16-6-5-8-3-1-2-4-9(8)13-11(17)14-10-7-12-15-18-10/h1-4,7,16H,5-6H2,(H2,13,14,17)",False,True,False,True,True,False,False,False,False,19,0.9756116287959247,1.0103016656113497,0,0,24,1.0331219812724268,0,110,0.9823261655199689,0,19,24,110,2,2,0.0001426429670908346,0,0,,0,0,,12,139.5731731278503,75.802560176375,1.841272548091989,1.640632707219989,3,5,439,N,O,1.6,1.55,3.1500000000000004,1.640632707219989,3.1500000000000004,0.5208357800698378,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.07450980392156863,,,,6.331956488277889,0.8112907962896958,3.257985701873336,5hqx_1_EDZ_0
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,"InChI=1S/C15H34N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h7-15,18-20,22-25,27H,2-6,16-17H2,1H3/t7-,8+,9-,10+,11+,12-,13+,14+/m0/s1","InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/p+1/t7-,8+,10+,11+,14+,27-/m0/s1",False,True,False,True,False,False,True,True,False,29,0.9661074847302611,1.0077310777847668,0,0,42,1.030562255978939,0,280,0.8129142770152014,0,29,42,280,1,1,1.1392086476047503e-05,0,0,,0,0,,22,159.58001576909726,77.72684229829248,2.0530875956169257,2.1270810421796362,2,0,5557,C,O,1.7,1.55,3.25,2.1270810421796362,3.25,0.6544864745168112,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.05636449037106623,,,,32.38481531563486,0.7581704207841548,31.822466856403498,2v7u_1_SAM_2
